id,name,type,is_fast_move,pve_power,pve_energy_delta,duration_ms,damage_window_start_ms,damage_window_end_ms,pvp_power,pvp_energy_delta
1,WRAP,NORMAL,False,60.0,-33,3000,2150,2800,60.0,-45
2,HYPER_BEAM,NORMAL,False,150.0,-100,4000,3500,3800,150.0,-80
3,DARK_PULSE,DARK,False,80.0,-50,3000,1400,2300,80.0,-50
4,SLUDGE,POISON,False,50.0,-33,2000,1100,1450,70.0,-40
5,VICE_GRIP,NORMAL,False,35.0,-33,2000,1200,1600,70.0,-40
6,FLAME_WHEEL,FIRE,False,55.0,-50,2500,1900,2200,80.0,-45
7,MEGAHORN,BUG,False,105.0,-100,2000,1500,1700,110.0,-55
8,FLAMETHROWER,FIRE,False,65.0,-50,2000,1300,1500,90.0,-55
9,DIG,GROUND,False,100.0,-50,4500,2600,4300,70.0,-50
10,CROSS_CHOP,FIGHTING,False,50.0,-50,1500,800,1200,55.0,-35
11,PSYBEAM,PSYCHIC,False,65.0,-50,3000,1100,2500,70.0,-60
12,EARTHQUAKE,GROUND,False,140.0,-100,3500,2600,3400,110.0,-65
13,STONE_EDGE,ROCK,False,105.0,-100,2500,900,2300,100.0,-55
14,ICE_PUNCH,ICE,False,50.0,-33,2000,1400,1700,60.0,-40
15,HEART_STAMP,PSYCHIC,False,40.0,-33,2000,1200,1700,40.0,-40
16,DISCHARGE,ELECTRIC,False,65.0,-33,2500,1700,2100,55.0,-40
17,FLASH_CANNON,STEEL,False,100.0,-100,2500,1400,2300,110.0,-70
18,DRILL_PECK,FLYING,False,70.0,-33,2500,1900,2300,70.0,-40
19,ICE_BEAM,ICE,False,95.0,-50,3500,1500,3000,90.0,-55
20,BLIZZARD,ICE,False,130.0,-100,3000,1400,2800,140.0,-75
21,HEAT_WAVE,FIRE,False,95.0,-100,3000,1700,2800,75.0,-45
22,AERIAL_ACE,FLYING,False,55.0,-33,2500,2000,2300,60.0,-45
23,DRILL_RUN,GROUND,False,85.0,-50,3000,1900,2800,80.0,-45
24,PETAL_BLIZZARD,GRASS,False,110.0,-100,2500,1600,2200,110.0,-65
25,MEGA_DRAIN,GRASS,False,25.0,-50,2500,850,1900,25.0,-55
26,BUG_BUZZ,BUG,False,95.0,-50,3500,1800,2900,100.0,-60
27,POISON_FANG,POISON,False,30.0,-33,1500,700,1200,45.0,-40
28,NIGHT_SLASH,DARK,False,45.0,-33,2000,1100,1800,50.0,-35
29,BUBBLE_BEAM,WATER,False,45.0,-33,2000,1550,1800,25.0,-40
30,SUBMISSION,FIGHTING,False,55.0,-50,2000,1600,1800,60.0,-50
31,LOW_SWEEP,FIGHTING,False,40.0,-33,2000,1400,1750,40.0,-40
32,AQUA_JET,WATER,False,45.0,-33,2500,1600,2000,70.0,-40
33,AQUA_TAIL,WATER,False,50.0,-33,2000,1300,1750,55.0,-35
34,SEED_BOMB,GRASS,False,55.0,-33,2000,1100,1800,55.0,-40
35,PSYSHOCK,PSYCHIC,False,60.0,-33,2500,1800,2400,70.0,-40
36,ANCIENT_POWER,ROCK,False,70.0,-33,3500,2850,3100,60.0,-45
37,ROCK_TOMB,ROCK,False,65.0,-50,3000,2050,2800,75.0,-50
38,ROCK_SLIDE,ROCK,False,75.0,-50,2500,1300,2400,75.0,-45
39,POWER_GEM,ROCK,False,80.0,-50,3000,2050,2800,85.0,-50
40,SHADOW_SNEAK,GHOST,False,50.0,-33,3000,2300,2800,75.0,-50
41,SHADOW_PUNCH,GHOST,False,35.0,-33,1500,1100,1300,55.0,-35
42,OMINOUS_WIND,GHOST,False,55.0,-33,2500,2050,2300,45.0,-45
43,SHADOW_BALL,GHOST,False,100.0,-50,3000,2400,2800,100.0,-50
44,MAGNET_BOMB,STEEL,False,75.0,-33,3000,2400,2800,70.0,-45
45,IRON_HEAD,STEEL,False,60.0,-50,2000,1400,1800,70.0,-50
46,PARABOLIC_CHARGE,ELECTRIC,False,70.0,-50,3000,1400,2600,70.0,-50
47,THUNDER_PUNCH,ELECTRIC,False,50.0,-33,2000,1900,1750,60.0,-40
48,THUNDER,ELECTRIC,False,100.0,-100,2500,1300,2300,100.0,-60
49,THUNDERBOLT,ELECTRIC,False,80.0,-50,2500,1800,2300,90.0,-55
50,TWISTER,DRAGON,False,50.0,-33,3000,1150,2800,70.0,-40
51,DRAGON_PULSE,DRAGON,False,90.0,-50,3500,2050,3200,90.0,-55
52,DRAGON_CLAW,DRAGON,False,45.0,-33,1500,900,1100,80.0,-50
53,DISARMING_VOICE,FAIRY,False,70.0,-33,4000,3300,3600,70.0,-45
