id,form,name,type_1,type_2,base_attack,base_defense,base_stamina
1,NORMAL,BULBASAUR,GRASS,POISON,118,111,128
2,NORMAL,IVYSAUR,GRASS,POISON,151,143,155
3,MEGA,VENUSAUR,GRASS,POISON,241,246,190
3,NORMAL,VENUSAUR,GRASS,POISON,198,189,190
4,NORMAL,CHARMANDER,FIRE,,116,93,118
5,NORMAL,CHARMELEON,FIRE,,158,126,151
6,MEGA_X,CHARIZARD,FIRE,DRAGON,273,213,186
6,MEGA_Y,CHARIZARD,FIRE,FLYING,319,212,186
6,NORMAL,CHARIZARD,FIRE,FLYING,223,173,186
7,NORMAL,SQUIRTLE,WATER,,94,121,127
8,NORMAL,WARTORTLE,WATER,,126,155,153
9,MEGA,BLASTOISE,WATER,,264,237,188
9,NORMAL,BLASTOISE,WATER,,171,207,188
10,NORMAL,CATERPIE,BUG,,55,55,128
11,NORMAL,METAPOD,BUG,,45,80,137
12,NORMAL,BUTTERFREE,BUG,FLYING,167,137,155
13,NORMAL,WEEDLE,BUG,POISON,63,50,120
14,NORMAL,KAKUNA,BUG,POISON,46,75,128
15,MEGA,BEEDRILL,BUG,POISON,303,148,163
15,NORMAL,BEEDRILL,BUG,POISON,169,130,163
16,NORMAL,PIDGEY,NORMAL,FLYING,85,73,120
17,NORMAL,PIDGEOTTO,NORMAL,FLYING,117,105,160
18,MEGA,PIDGEOT,NORMAL,FLYING,280,175,195
18,NORMAL,PIDGEOT,NORMAL,FLYING,166,154,195
19,ALOLA,RATTATA,DARK,NORMAL,103,70,102
19,NORMAL,RATTATA,NORMAL,,103,70,102
20,ALOLA,RATICATE,DARK,NORMAL,135,154,181
20,NORMAL,RATICATE,NORMAL,,161,139,146
21,NORMAL,SPEAROW,NORMAL,FLYING,112,60,120
22,NORMAL,FEAROW,NORMAL,FLYING,182,133,163
23,NORMAL,EKANS,POISON,,110,97,111
24,NORMAL,ARBOK,POISON,,167,153,155
25,NORMAL,PIKACHU,ELECTRIC,,112,96,111
26,ALOLA,RAICHU,ELECTRIC,PSYCHIC,201,154,155
26,NORMAL,RAICHU,ELECTRIC,,193,151,155
27,ALOLA,SANDSHREW,ICE,STEEL,125,129,137
27,NORMAL,SANDSHREW,GROUND,,126,120,137
28,ALOLA,SANDSLASH,ICE,STEEL,177,195,181
28,NORMAL,SANDSLASH,GROUND,,182,175,181
29,NORMAL,NIDORAN,POISON,,86,89,146
30,NORMAL,NIDORINA,POISON,,117,120,172
31,NORMAL,NIDOQUEEN,POISON,GROUND,180,173,207
32,NORMAL,NIDORAN,POISON,,105,76,130
33,NORMAL,NIDORINO,POISON,,137,111,156
34,NORMAL,NIDOKING,POISON,GROUND,204,156,191
35,NORMAL,CLEFAIRY,FAIRY,,107,108,172
36,NORMAL,CLEFABLE,FAIRY,,178,162,216
37,ALOLA,VULPIX,ICE,,96,109,116
37,NORMAL,VULPIX,FIRE,,96,109,116
38,ALOLA,NINETALES,ICE,FAIRY,170,193,177
38,NORMAL,NINETALES,FIRE,,169,190,177
39,NORMAL,JIGGLYPUFF,NORMAL,FAIRY,80,41,251
40,NORMAL,WIGGLYTUFF,NORMAL,FAIRY,156,90,295
41,NORMAL,ZUBAT,POISON,FLYING,83,73,120
42,NORMAL,GOLBAT,POISON,FLYING,161,150,181
43,NORMAL,ODDISH,GRASS,POISON,131,112,128
44,NORMAL,GLOOM,GRASS,POISON,153,136,155
45,NORMAL,VILEPLUME,GRASS,POISON,202,167,181
46,NORMAL,PARAS,BUG,GRASS,121,99,111
47,NORMAL,PARASECT,BUG,GRASS,165,146,155
48,NORMAL,VENONAT,BUG,POISON,100,100,155
49,NORMAL,VENOMOTH,BUG,POISON,179,143,172
50,ALOLA,DIGLETT,GROUND,STEEL,108,81,67
50,NORMAL,DIGLETT,GROUND,,109,78,67
51,ALOLA,DUGTRIO,GROUND,STEEL,201,142,111
51,NORMAL,DUGTRIO,GROUND,,167,134,111
52,ALOLA,MEOWTH,DARK,,99,78,120
52,GALARIAN,MEOWTH,STEEL,,115,92,137
52,NORMAL,MEOWTH,NORMAL,,92,78,120
53,ALOLA,PERSIAN,DARK,,158,136,163
53,NORMAL,PERSIAN,NORMAL,,150,136,163
54,NORMAL,PSYDUCK,WATER,,122,95,137
55,NORMAL,GOLDUCK,WATER,,191,162,190
56,NORMAL,MANKEY,FIGHTING,,148,82,120
57,NORMAL,PRIMEAPE,FIGHTING,,207,138,163
58,HISUIAN,GROWLITHE,FIRE,ROCK,142,92,155
58,NORMAL,GROWLITHE,FIRE,,136,93,146
59,HISUIAN,ARCANINE,FIRE,ROCK,232,165,216
59,NORMAL,ARCANINE,FIRE,,227,166,207
60,NORMAL,POLIWAG,WATER,,101,82,120
61,NORMAL,POLIWHIRL,WATER,,130,123,163
62,NORMAL,POLIWRATH,WATER,FIGHTING,182,184,207
63,NORMAL,ABRA,PSYCHIC,,195,82,93
64,NORMAL,KADABRA,PSYCHIC,,232,117,120
65,MEGA,ALAKAZAM,PSYCHIC,,367,207,146
65,NORMAL,ALAKAZAM,PSYCHIC,,271,167,146
66,NORMAL,MACHOP,FIGHTING,,137,82,172
67,NORMAL,MACHOKE,FIGHTING,,177,125,190
68,NORMAL,MACHAMP,FIGHTING,,234,159,207
69,NORMAL,BELLSPROUT,GRASS,POISON,139,61,137
70,NORMAL,WEEPINBELL,GRASS,POISON,172,92,163
71,MEGA,VICTREEBEL,GRASS,POISON,265,181,190
71,NORMAL,VICTREEBEL,GRASS,POISON,207,135,190
72,NORMAL,TENTACOOL,WATER,POISON,97,149,120
73,NORMAL,TENTACRUEL,WATER,POISON,166,209,190
74,ALOLA,GEODUDE,ROCK,ELECTRIC,132,132,120
74,NORMAL,GEODUDE,ROCK,GROUND,132,132,120
75,ALOLA,GRAVELER,ROCK,ELECTRIC,164,164,146
75,NORMAL,GRAVELER,ROCK,GROUND,164,164,146
76,ALOLA,GOLEM,ROCK,ELECTRIC,211,198,190
76,NORMAL,GOLEM,ROCK,GROUND,211,198,190
77,GALARIAN,PONYTA,PSYCHIC,,170,127,137
77,NORMAL,PONYTA,FIRE,,170,127,137
78,GALARIAN,RAPIDASH,PSYCHIC,FAIRY,207,162,163
78,NORMAL,RAPIDASH,FIRE,,207,162,163
79,GALARIAN,SLOWPOKE,PSYCHIC,,109,98,207
79,NORMAL,SLOWPOKE,WATER,PSYCHIC,109,98,207
80,GALARIAN,SLOWBRO,POISON,PSYCHIC,182,156,216
80,MEGA,SLOWBRO,WATER,PSYCHIC,224,259,216
80,NORMAL,SLOWBRO,WATER,PSYCHIC,177,180,216
81,NORMAL,MAGNEMITE,ELECTRIC,STEEL,165,121,93
82,NORMAL,MAGNETON,ELECTRIC,STEEL,223,169,137
83,GALARIAN,FARFETCHD,FIGHTING,,174,114,141
83,NORMAL,FARFETCHD,NORMAL,FLYING,124,115,141
84,NORMAL,DODUO,NORMAL,FLYING,158,83,111
